Dato + Tid,Volum,Globalstraling,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Lufttrykk,Vindkast
2020-01-30,54.083333333333336,11.043750000000001,0.0,3.9076388888888887,152.04999999999998,4.873611111111111,981.2645833333332,7.779166666666666
2020-01-31,45.208333333333336,7.397222222222222,0.0,5.840277777777778,155.46527777777777,4.820833333333334,978.6062499999999,7.840277777777778
2020-02-01,13.375,3.6133333333333333,0.0,5.391666666666667,218.9375,3.1933333333333334,974.5722222222222,5.8687499999999995
2020-02-02,14.458333333333334,21.352083333333336,2.365,1.7544444444444445,193.79166666666666,1.5979166666666667,991.3354166666667,2.8284722222222225
2020-02-03,53.541666666666664,13.477777777777776,0.26666666666666666,1.1881944444444443,168.36805555555557,2.97,988.6977777777778,4.700694444444444
2020-02-04,52.583333333333336,38.360416666666666,12.291666666666666,1.913888888888889,240.8111111111111,2.4090277777777778,1004.026388888889,3.875
2020-02-05,49.041666666666664,7.980555555555555,0.0,4.802777777777778,227.25694444444446,3.070138888888889,1016.0159722222221,5.543055555555555
2020-02-06,54.708333333333336,15.199027777777777,0.0,6.334027777777777,246.07638888888889,1.457638888888889,1017.9902777777778,2.5395833333333333
2020-02-07,53.208333333333336,24.455416666666668,2.029166666666667,3.473611111111111,144.86527777777778,3.545833333333333,1014.8548611111111,5.934722222222223
2020-02-08,14.208333333333334,5.1194444444444445,0.0,6.407222222222223,154.92361111111111,6.872916666666666,997.5873611111111,11.843055555555557
2020-02-09,8.0,2.5833333333333335,0.0,5.518055555555556,157.00694444444443,8.634027777777778,960.0305555555556,15.413194444444445
2020-02-10,59.166666666666664,12.676388888888889,0.012499999999999999,3.7016666666666667,240.1236111111111,3.5131944444444443,957.7118055555555,6.815277777777777
